id,text,pattern_type,source,brand_or_site,language,notes,Word_Count,Char_Count,Question_Mark,Exclamation_Mark,Negation_Count,Sentiment,Subordinator_Count,Complexity_Index
1,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
2,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
3,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
4,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
5,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
6,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
7,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
8,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
9,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
10,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
11,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
12,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
